familia_modelo_avaliado,modelos_incluidos,n_respostas,media_juiz_mesma_familia,media_outros_julgadores,delta_mesma_familia_menos_outros_julgadores,ic95_delta_low,ic95_delta_high,proporcao_delta_positivo,proporcao_delta_zero,proporcao_delta_negativo
gpt,"gpt-5.1, openai_gpt-oss-120b",202,3.9405940594059405,4.153465346534653,-0.21287128712871287,-0.3118811881188119,-0.11386138613861387,0.16831683168316833,0.48514851485148514,0.3465346534653465
gemini,gemini-3-pro-preview,101,4.267326732673268,3.8564356435643563,0.41089108910891087,0.2524752475247525,0.5742574257425742,0.43564356435643564,0.45544554455445546,0.10891089108910891
claude,claude-opus-4-6,101,3.900990099009901,4.311881188118812,-0.41089108910891087,-0.6237623762376238,-0.21287128712871287,0.16831683168316833,0.42574257425742573,0.40594059405940597
