juiz,familia_propria,n_respostas_familia_propria,media_nota_familia_propria,dp_nota_familia_propria,n_respostas_demais_modelos,media_nota_demais_modelos,dp_nota_demais_modelos,delta_self_menos_outros,cohen_d
gpt,gpt,202,3.9405940594059405,1.2876897603730135,1010,3.9663366336633663,1.301388846264604,-0.025742574257425765,-0.01981534461027206
gemini,gemini,101,4.267326732673268,1.1907232181234302,1111,4.16021602160216,1.3634487103389914,0.10711071107110737,0.07934057080576516
claude,claude,101,3.900990099009901,1.3675156342437151,1111,3.864086408640864,1.366417373782135,0.036903690369036735,0.027005832171244963
